word,count
백신,18198
접종,14102
코로나,12240
시장,11226
상승,10674
투자,10380
미국,9380
기업,8576
경제,7660
한국,7406
주식,7060
사업,6476
시작,6430
중국,6344
이상,6276
가격,6020
분기,5724
주가,5430
금리,5404
국내,5348
개발,5168
서울,5158
실적,5130
성장,5102
전망,5096
필요,5022
증가,4864
세계,4810
상황,4708
기술,4676
정부,4590
반도체,4566
급등,4512
하나,4388
생산,4188
산업,4154
공급,4142
아이,4138
바이오,4128
대비,4098
금융,4066
지속,4036
기대,4024
발표,4020
기준,4020
달러,3990
소식,3968
정보,3936
하락,3916
업체,3904
예상,3864
회사,3840
문제,3778
예방,3690
지역,3688
종목,3668
올해,3632
지원,3588
발생,3524
계획,3416
기록,3396
교육,3370
여행,3304
병원,3302
서비스,3290
관리,3264
바이러스,3242
확진,3236
건강,3200
회복,3168
테마,3120
수익,3108
예정,3104
정책,3102
국민,3100
결과,3090
글로벌,3078
제품,3064
안전,3058
지도,3020
마음,3012
규모,3008
이익,3004
센터,2970
개인,2964
이유,2912
거래,2912
지수,2910
추가,2900
상장,2886
대표,2874
준비,2862
사회,2846
경기,2828
디지털,2808
국가,2808
매출,2782
확대,2782
방역,2782
증시,2758
분석,2746
기관,2730
효과,2664
해외,2662
이야기,2648
최대,2622
나라,2618
환자,2608
매수,2604
네이버,2572
영업,2558
전기,2556
최고,2556
목표,2550
추천,2542
조사,2538
모습,2536
데이터,2534
이용,2514
의료,2494
출처,2482
방법,2478
우려,2478
평가,2468
대상,2466
전환,2444
일본,2434
동안,2414
일상,2408
후보,2390
중요,2382
자신,2354
가지,2348
생활,2336
추진,2336
가치,2332
수준,2332
수요,2330
유지,2328
부동산,2328
운영,2300
결정,2294
게임,2292
인상,2286
증권,2282
기대감,2274
검사,2268
버스,2258
제공,2252
배터리,2244
감사,2226
대통령,2214
신규,2200
전체,2196
학교,2186
시스템,2186
치료,2184
맛집,2174
개선,2160
현대,2152
도시,2140
영향,2140
조정,2114
부분,2110
온라인,2106
친구,2082
상태,2080
에스,2068
연구,2058
변화,2052
아스트라,2052
교회,2050
에너지,2048
전자,2040
수출,2018
장기,2004
활동,2002
여기,2002
정리,1996
포함,1990
기사,1990
시설,1988
강세,1984
미래,1972
기간,1968
카페,1966
관심,1962
자동차,1958
공부,1956
개월,1950
방문,1916
일부,1916
내년,1910
소재,1904
장비,1890
메타,1884
설명,1880
감염,1880
삼성전자,1876
전문,1874
